"","date","Treatment","value","percent.moisture","Temp"
"1",2018-12-04,"Control",0.2886180555,0.3775091066875,5.0875
"2",2018-12-04,"Heated",0.2485208335,0.3511057234375,8.2625
"3",2019-01-30,"Control",0.2197708335,0.320359418714286,1.12857142857143
"4",2019-01-30,"Heated",0.228972222166667,0.3243849895,4.57142857142857
"5",2019-03-27,"Control",0.2269930555,0.30577762045,1.05
"6",2019-03-27,"Heated",0.200506944333333,0.29235201355,2.89
"7",2019-05-15,"Control",0.263284722333333,0.353209145821429,8.01071428571429
"8",2019-05-15,"Heated",0.239013889,0.330346181285714,11.5607142857143
"9",2019-06-27,"Control",0.195451388833333,0.301043591875,15.2416666666667
"10",2019-06-27,"Heated",0.192763888833333,0.273032039875,18.8875
"11",2019-08-01,"Control",0.141104166666667,0.24788917,18.34
"12",2019-08-01,"Heated",0.156722222166667,0.23652432064,21.696
"13",2019-09-04,"Control",0.1015694445,0.166983720931818,18.8181818181818
"14",2019-09-04,"Heated",0.1154375,0.216843548395349,22.0488372093023
"15",2019-10-18,"Control",NA,0.132140854346154,14.8923076923077
"16",2019-10-18,"Heated",NA,0.133222051,17.9692307692308
"17",2019-12-16,"Control",0.216284722166667,0.354450752556604,3.73301886792453
"18",2019-12-16,"Heated",0.200618055666667,0.281928053698113,6.94339622641509
"19",2020-03-11,"Control",0.213965277666667,0.279533795839623,3.55283018867925
"20",2020-03-11,"Heated",0.1956944445,0.301355878820755,6.27264150943396
"21",2020-07-07,"Control",0.115840277833333,0.204584482510373,NA
"22",2020-07-07,"Heated",0.128979166666667,0.214229010708815,NA
"23",2020-09-15,"Control",0.0961875,0.178116032176136,15.6664772727273
"24",2020-09-15,"Heated",0.108486111166667,0.182715534386364,18.8994318181818
"25",2020-11-19,"Control",0.177895833333333,0.284945433318182,7.5
"26",2020-11-19,"Heated",0.172354166833333,0.260989081954545,10.3636363636364
