date,p1.sm,p2.sm,p3.sm,p4.sm,p5.sm,p6.sm,p7.sm,p8.sm,p9.sm,p10.sm,p11.sm,p12.sm,p13.sm,p14.sm,p15.sm,p16.sm,p17.sm,p18.sm
2015-10-04,0.129791667,0.194333333,0.19175,0.1455,0.172541667,0.155208333,0.187666667,0.180791667,0.187666667,0.203375,0.187833333,0.1465,0.199666667,0.197166667,0.14175,0.172625,0.177083333,0.18575
2015-10-05,0.121583333,0.189166667,0.18575,0.140666667,0.166083333,0.151041667,0.182958333,0.172833333,0.180625,0.197708333,0.180291667,0.141916667,0.192833333,0.191125,0.137375,0.167708333,0.171125,0.181375
2015-10-06,0.114666667,0.184,0.180416667,0.136375,0.160583333,0.147,0.178375,0.165541667,0.174208333,0.192375,0.173333333,0.137833333,0.186125,0.185833333,0.133333333,0.163541667,0.165458333,0.177125
2015-10-07,0.108083333,0.178583333,0.174875,0.131791667,0.155416667,0.143041667,0.173625,0.158125,0.167583333,0.187333333,0.166541667,0.134291667,0.179125,0.180833333,0.129791667,0.159541667,0.159583333,0.1725
2015-10-08,0.102791667,0.173416667,0.169958333,0.1275,0.150916667,0.140208333,0.169375,0.151708333,0.161875,0.1825,0.160166667,0.131416667,0.173083333,0.176375,0.126583333,0.155791667,0.153833333,0.168333333
2015-10-09,0.107541667,0.178833333,0.172833333,0.127458333,0.159666667,0.14075,0.176875,0.154791667,0.1725,0.187625,0.169,0.132583333,0.179791667,0.19325,0.127625,0.159875,0.162125,0.171125
2015-10-10,0.113125,0.1865,0.180958333,0.133708333,0.173958333,0.143708333,0.180958333,0.165083333,0.185208333,0.1985,0.179833333,0.139041667,0.1925,0.19425,0.134666667,0.1665,0.173625,0.175291667
2015-10-11,0.103833333,0.17775,0.17225,0.130166667,0.159875,0.141791667,0.172166667,0.153916667,0.172458333,0.188875,0.167583333,0.136083333,0.182625,0.181791667,0.12925,0.159041667,0.161416667,0.16975
2015-10-12,0.096875,0.170916667,0.166416667,0.126083333,0.152541667,0.138416667,0.166833333,0.144666667,0.163958333,0.182291667,0.159666667,0.132916667,0.17475,0.175333333,0.125375,0.154125,0.15375,0.164916667
2015-10-13,0.091791667,0.165083333,0.161416667,0.122,0.147583333,0.135833333,0.162291667,0.138375,0.157416667,0.177416667,0.152916667,0.129791667,0.167958333,0.170875,0.122291667,0.150208333,0.147875,0.160416667
2015-10-14,0.088875,0.160833333,0.158125,0.118791667,0.144416667,0.134041667,0.159125,0.134166667,0.152875,0.173625,0.14825,0.12725,0.163083333,0.167416667,0.120166667,0.147458333,0.143833333,0.156958333
2015-10-15,0.085916667,0.156666667,0.154375,0.115291667,0.141,0.131708333,0.156083333,0.129458333,0.148083333,0.16975,0.143666667,0.124791667,0.158375,0.163916667,0.118416667,0.1445,0.139291667,0.153708333
2015-10-16,0.083291667,0.153,0.151916667,0.112875,0.138625,0.130041667,0.153833333,0.125083333,0.144541667,0.166625,0.139875,0.122958333,0.154125,0.161291667,0.116666667,0.142,0.135833333,0.150666667
2015-10-17,0.081,0.149583333,0.149416667,0.1105,0.1365,0.128375,0.1515,0.121291667,0.141708333,0.163333333,0.136666667,0.121,0.150583333,0.159083333,0.115083333,0.139333333,0.132666667,0.147666667
2015-10-18,0.080125,0.147083333,0.148,0.108833333,0.135208333,0.127333333,0.150416667,0.118875,0.139916667,0.161458333,0.134583333,0.120041667,0.148083333,0.157625,0.114,0.137666667,0.131083333,0.145125
2015-10-19,0.080375,0.146875,0.148541667,0.108583333,0.135583333,0.127833333,0.150875,0.1185,0.139666667,0.161375,0.134625,0.119666667,0.148041667,0.158416667,0.113958333,0.13675,0.131708333,0.145
2015-10-20,0.079791667,0.146166667,0.148958333,0.108833333,0.1355,0.127625,0.150708333,0.117208333,0.139083333,0.160458333,0.13375,0.118666667,0.147458333,0.157875,0.113666667,0.135333333,0.131666667,0.144625
2015-10-21,0.081291667,0.145458333,0.14925,0.108,0.138,0.126,0.153541667,0.117416667,0.142916667,0.161083333,0.13475,0.118625,0.148166667,0.156958333,0.113541667,0.134625,0.134791667,0.147458333
2015-10-22,0.0815,0.14475,0.149666667,0.107708333,0.138791667,0.125666667,0.15275,0.116958333,0.145458333,0.1615,0.134375,0.118041667,0.148583333,0.155875,0.113416667,0.134,0.13425,0.146625
2015-10-23,0.079041667,0.143208333,0.148291667,0.106208333,0.137458333,0.124375,0.150541667,0.114125,0.143583333,0.159291667,0.132166667,0.116416667,0.146916667,0.154708333,0.112541667,0.131583333,0.131541667,0.144375
2015-10-24,0.078041667,0.142,0.14775,0.105291667,0.136333333,0.124291667,0.15,0.113041667,0.142458333,0.15775,0.131,0.115208333,0.145458333,0.154,0.112,0.129958333,0.130208333,0.142916667
2015-10-25,0.092875,0.152875,0.1545,0.109,0.142166667,0.128083333,0.165375,0.125,0.159083333,0.168125,0.149875,0.12025,0.155958333,0.183041667,0.116375,0.140625,0.147333333,0.150958333
2015-10-26,0.092538462,0.154692308,0.155461538,0.109923077,0.144,0.128076923,0.161692308,0.127230769,0.158384615,0.171076923,0.15,0.121,0.157384615,0.173153846,0.118,0.139384615,0.145,0.150615385
2015-10-29,0.1742,0.233466667,0.2388,0.188666667,0.228133333,0.1894,0.2368,0.241133333,0.2694,0.252266667,0.236533333,0.190066667,0.2668,0.256466667,0.176,0.2106,0.2242,0.218866667
2015-10-30,0.155125,0.216791667,0.217041667,0.170583333,0.202375,0.171333333,0.214458333,0.212666667,0.233708333,0.228958333,0.213916667,0.169375,0.237041667,0.228083333,0.159,0.190916667,0.203791667,0.205083333
2015-10-31,0.144625,0.209708333,0.206333333,0.161041667,0.189666667,0.163416667,0.204708333,0.197541667,0.216708333,0.217,0.203333333,0.160166667,0.223166667,0.21475,0.150458333,0.181166667,0.19375,0.197791667
2015-11-01,0.138958333,0.205791667,0.200541667,0.156416667,0.183958333,0.160208333,0.199541667,0.189833333,0.207583333,0.21075,0.19675,0.155666667,0.216,0.207583333,0.145958333,0.176166667,0.189125,0.193541667
2015-11-02,0.134916667,0.202541667,0.195791667,0.153208333,0.179125,0.157125,0.195416667,0.184583333,0.201125,0.206166667,0.191833333,0.152416667,0.21075,0.202,0.14275,0.172666667,0.185333333,0.190208333
2015-11-03,0.131416667,0.199791667,0.192,0.150166667,0.175291667,0.154791667,0.192125,0.180416667,0.196166667,0.202291667,0.187791667,0.14925,0.2065,0.197625,0.140125,0.169833333,0.181833333,0.187625
2015-11-04,0.129083333,0.197208333,0.188958333,0.147958333,0.172125,0.153041667,0.189541667,0.177541667,0.19225,0.198875,0.184541667,0.146875,0.202875,0.193875,0.137958333,0.167541667,0.179208333,0.185416667
2015-11-05,0.12625,0.194916667,0.186708333,0.146166667,0.169791667,0.151666667,0.187333333,0.175375,0.188916667,0.1965,0.181666667,0.144708333,0.200125,0.190916667,0.136041667,0.165833333,0.17675,0.183375
2015-11-06,0.12475,0.193125,0.184583333,0.144875,0.167666667,0.150125,0.185625,0.17375,0.18625,0.194541667,0.179416667,0.143375,0.197375,0.188625,0.134625,0.164291667,0.175041667,0.181625
2015-11-07,0.122791667,0.19125,0.182458333,0.143,0.165916667,0.148625,0.183708333,0.17175,0.183916667,0.19225,0.177125,0.142,0.194916667,0.186666667,0.132958333,0.162958333,0.172875,0.18
2015-11-08,0.121083333,0.19,0.18075,0.14175,0.164416667,0.147583333,0.182791667,0.170125,0.182041667,0.190708333,0.17575,0.14075,0.193166667,0.185791667,0.131708333,0.16175,0.171791667,0.178916667
2015-11-09,0.120333333,0.188875,0.17975,0.140958333,0.163416667,0.14725,0.181833333,0.168958333,0.180583333,0.189916667,0.174791667,0.13975,0.192,0.1845,0.130708333,0.161,0.17075,0.177791667
2015-11-10,0.12,0.187875,0.17875,0.140333333,0.162666667,0.146958333,0.181,0.16825,0.179083333,0.188916667,0.1735,0.138833333,0.190541667,0.182625,0.12975,0.160041667,0.169416667,0.176958333
2015-11-11,0.129708333,0.198958333,0.183416667,0.145375,0.168375,0.150833333,0.196083333,0.178625,0.187041667,0.195083333,0.185833333,0.143125,0.204416667,0.203833333,0.138791667,0.168541667,0.182,0.184583333
2015-11-12,0.144916667,0.205833333,0.18925,0.153625,0.176666667,0.156958333,0.200166667,0.19575,0.188208333,0.204916667,0.19775,0.153041667,0.218333333,0.2075,0.143208333,0.176166667,0.191791667,0.190291667
2015-11-13,0.151375,0.210083333,0.193125,0.158458333,0.179875,0.161083333,0.203708333,0.205208333,0.197166667,0.208875,0.204625,0.160083333,0.223041667,0.213875,0.144708333,0.178916667,0.196541667,0.194
2015-11-14,0.140041667,0.202708333,0.1885,0.154208333,0.175291667,0.15925,0.194291667,0.194916667,0.187541667,0.2045,0.194958333,0.15575,0.214541667,0.20125,0.140791667,0.17375,0.187708333,0.189916667
2015-11-15,0.136166667,0.199875,0.186041667,0.152041667,0.172083333,0.157,0.191083333,0.187458333,0.181916667,0.201625,0.190041667,0.151916667,0.209458333,0.196458333,0.138125,0.170416667,0.182625,0.187791667
2015-11-16,0.133833333,0.198083333,0.184041667,0.150583333,0.169916667,0.155291667,0.189208333,0.183458333,0.178583333,0.199375,0.187041667,0.149291667,0.206083333,0.193166667,0.136333333,0.168291667,0.179833333,0.186125
2015-11-17,0.131208333,0.196166667,0.182375,0.1485,0.167958333,0.153291667,0.187666667,0.179958333,0.175833333,0.197541667,0.184666667,0.147,0.202875,0.190541667,0.13425,0.1665,0.177333333,0.184625
2015-11-18,0.130041667,0.195125,0.181125,0.147875,0.167,0.152083333,0.187,0.178333333,0.172041667,0.196333333,0.183125,0.145958333,0.200458333,0.188666667,0.133041667,0.164958333,0.176,0.183666667
2015-11-19,0.128708333,0.194083333,0.180416667,0.148041667,0.166083333,0.151291667,0.186333333,0.17725,0.168625,0.196,0.182125,0.145208333,0.198333333,0.187291667,0.132375,0.163833333,0.174791667,0.182833333
2015-11-20,0.194166667,0.257125,0.251083333,0.19675,0.249,0.221916667,0.265916667,0.257375,0.262583333,0.26275,0.267125,0.213708333,0.273125,0.296291667,0.1905,0.226708333,0.235791667,0.2595
2015-11-21,0.169666667,0.232666667,0.22525,0.179791667,0.210708333,0.186125,0.2255,0.227416667,0.226333333,0.238916667,0.230916667,0.18425,0.239458333,0.237041667,0.168,0.201166667,0.210666667,0.225583333
2015-11-22,0.1615,0.226208333,0.21625,0.174875,0.200583333,0.179125,0.217125,0.217,0.213666667,0.23075,0.223833333,0.177458333,0.231458333,0.224833333,0.16175,0.19375,0.20425,0.217166667
2015-11-23,0.157,0.221458333,0.2095,0.17025,0.193916667,0.174,0.206,0.209458333,0.205833333,0.225333333,0.215916667,0.17175,0.223833333,0.217333333,0.156041667,0.189291667,0.199458333,0.211083333
2015-11-24,0.153375,0.217291667,0.204458333,0.166541667,0.188541667,0.170458333,0.192375,0.204375,0.200208333,0.221458333,0.21025,0.167416667,0.218625,0.21225,0.15275,0.186375,0.195041667,0.207125
2015-11-25,0.151333333,0.214916667,0.201416667,0.165333333,0.186333333,0.168416667,0.190833333,0.201291667,0.196916667,0.219458333,0.207708333,0.164916667,0.215666667,0.208875,0.149875,0.184125,0.1935,0.204166667
2015-11-26,0.14975,0.213,0.199041667,0.163958333,0.184166667,0.166708333,0.189458333,0.199125,0.193666667,0.21775,0.205375,0.162916667,0.21275,0.205833333,0.147958333,0.182541667,0.192083333,0.201791667
2015-11-27,0.148125,0.210916667,0.1965,0.162541667,0.181666667,0.164875,0.1875,0.196916667,0.190541667,0.215541667,0.201875,0.160875,0.209708333,0.202875,0.145916667,0.180458333,0.189708333,0.199166667
2015-11-28,0.155,0.215291667,0.199583333,0.165625,0.187416667,0.167041667,0.192291667,0.204291667,0.202416667,0.219166667,0.211458333,0.166958333,0.2175,0.210458333,0.150541667,0.185083333,0.19725,0.202708333
2015-11-29,0.155375,0.216416667,0.201583333,0.167416667,0.189,0.171916667,0.192583333,0.208166667,0.20275,0.22175,0.213125,0.170583333,0.217958333,0.211166667,0.151625,0.187916667,0.201166667,0.202958333
2015-11-30,0.150791667,0.212291667,0.197208333,0.1635,0.183541667,0.169041667,0.189625,0.200916667,0.1965,0.218083333,0.206833333,0.164541667,0.212625,0.2055,0.147875,0.183916667,0.193458333,0.20075
2015-12-01,0.150083333,0.212375,0.196166667,0.1635,0.18275,0.167791667,0.190208333,0.200166667,0.195625,0.216916667,0.208416667,0.163833333,0.212458333,0.203208333,0.146708333,0.1825,0.192,0.200916667
2015-12-02,0.185833333,0.240916667,0.22525,0.188291667,0.210583333,0.19125,0.220083333,0.240208333,0.232583333,0.237666667,0.245375,0.19275,0.256708333,0.23725,0.167458333,0.208208333,0.229041667,0.220166667
2015-12-03,0.187041667,0.241291667,0.234458333,0.188291667,0.219541667,0.204083333,0.219458333,0.247333333,0.240333333,0.24375,0.250541667,0.198958333,0.255208333,0.254708333,0.17575,0.2125,0.228083333,0.235458333
2015-12-04,0.1705,0.227875,0.219541667,0.177375,0.202333333,0.185,0.205958333,0.225708333,0.219708333,0.232875,0.228458333,0.18075,0.234833333,0.228416667,0.1635,0.199083333,0.209583333,0.22075
2015-12-05,0.164416667,0.223125,0.212666667,0.173,0.195916667,0.178333333,0.201208333,0.216666667,0.211041667,0.228208333,0.22025,0.174083333,0.227041667,0.220083333,0.157958333,0.193916667,0.203791667,0.214208333
2015-12-06,0.160875,0.219958333,0.207875,0.17025,0.191833333,0.174416667,0.198333333,0.211166667,0.205541667,0.224958333,0.215125,0.170041667,0.221958333,0.214708333,0.154291667,0.190791667,0.200083333,0.209791667
