Year,Jday,p1.sm,p2.sm,p3.sm,p4.sm,p5.sm,p6.sm,p7.sm,p8.sm,p9.sm,p10.sm,p11.sm,p12.sm,p13.sm,p14.sm,p15.sm,p16.sm,p17.sm,p18.sm
2020,134,0.202666667,0.256208333,0.224416667,0.212041667,0.252125,0.226958333,0.278041667,0.297208333,0.204958333,0.300625,0.254083333,0.229125,0.246583333,0.230041667,0.181583333,0.20125,0.172291667,0.211583333
2020,135,0.198666667,0.251583333,0.221,0.209083333,0.247125,0.223666667,0.271958333,0.291416667,0.201291667,0.295083333,0.24975,0.224916667,0.242333333,0.226458333,0.178708333,0.198291667,0.168791667,0.208375
2020,136,0.201375,0.25325,0.222958333,0.209458333,0.246875,0.23,0.274166667,0.292625,0.205666667,0.294916667,0.252541667,0.229708333,0.24875,0.233125,0.181458333,0.206333333,0.173041667,0.212458333
2020,137,0.211208333,0.260375,0.230041667,0.215583333,0.255291667,0.236291667,0.290875,0.308125,0.21375,0.303166667,0.261208333,0.23825,0.257458333,0.243583333,0.188416667,0.216916667,0.183916667,0.227541667
2020,138,0.200875,0.25325,0.222833333,0.211166667,0.249333333,0.226833333,0.278333333,0.297041667,0.204708333,0.297291667,0.253041667,0.228916667,0.245916667,0.230708333,0.180333333,0.203833333,0.172375,0.21375
2020,139,0.196833333,0.248833333,0.219208333,0.208208333,0.244458333,0.223958333,0.27125,0.29,0.201083333,0.293541667,0.248583333,0.22425,0.241083333,0.225625,0.177625,0.19925,0.168,0.207625
2020,140,0.192125,0.2445,0.215833333,0.205166667,0.239458333,0.220375,0.264625,0.283875,0.197875,0.288916667,0.244708333,0.22025,0.237125,0.221541667,0.174833333,0.196083333,0.165041667,0.203
2020,141,0.188375,0.239666667,0.212375,0.201583333,0.234541667,0.21725,0.258458333,0.27825,0.194416667,0.283416667,0.240208333,0.216416667,0.233166667,0.217291667,0.171958333,0.193208333,0.162208333,0.199208333
2020,142,0.184,0.235416667,0.208958333,0.198541667,0.229916667,0.214458333,0.253291667,0.27325,0.19125,0.278583333,0.236583333,0.212666667,0.229708333,0.214041667,0.16925,0.190708333,0.159916667,0.19525
2020,143,0.179708333,0.232125,0.205958333,0.195833333,0.226125,0.212041667,0.248708333,0.26925,0.188125,0.273708333,0.232708333,0.208958333,0.226166667,0.211,0.167083333,0.188708333,0.157166667,0.191666667
2020,144,0.176,0.228375,0.202583333,0.192791667,0.221541667,0.209083333,0.243833333,0.2645,0.185125,0.269083333,0.229,0.204708333,0.222541667,0.20775,0.164666667,0.187,0.155,0.187625
2020,145,0.172791667,0.224833333,0.199833333,0.189875,0.217875,0.2065,0.239541667,0.260166667,0.182541667,0.264791667,0.225791667,0.201791667,0.219291667,0.205291667,0.16225,0.185125,0.153083333,0.18475
2020,146,0.170791667,0.22225,0.197541667,0.187708333,0.214416667,0.205,0.236208333,0.257125,0.180375,0.261333333,0.222875,0.199375,0.216833333,0.202916667,0.160708333,0.183333333,0.151583333,0.182208333
2020,147,0.168291667,0.219125,0.194916667,0.185666667,0.20825,0.203,0.232708333,0.253541667,0.177708333,0.257541667,0.21975,0.196125,0.213708333,0.200541667,0.158916667,0.181583333,0.149291667,0.179458333
2020,148,0.163791667,0.21425,0.190583333,0.182333333,0.2015,0.200166667,0.228166667,0.248708333,0.174125,0.253333333,0.215583333,0.191666667,0.209375,0.197,0.156083333,0.179541667,0.146166667,0.175125
2020,149,0.161166667,0.210666667,0.186958333,0.17925,0.197958333,0.197958333,0.22425,0.244625,0.171333333,0.249541667,0.211875,0.188625,0.205625,0.193875,0.154166667,0.177916667,0.143458333,0.171125
2020,150,0.160583333,0.208166667,0.184916667,0.177375,0.195125,0.196291667,0.221708333,0.241666667,0.169416667,0.246791667,0.209375,0.186833333,0.202916667,0.192083333,0.1525,0.176583333,0.142125,0.168875
2020,151,0.164,0.21525,0.185583333,0.176625,0.198416667,0.198208333,0.225166667,0.241041667,0.172208333,0.249375,0.215791667,0.18775,0.205875,0.200375,0.152958333,0.181041667,0.142208333,0.173625
2020,152,0.156375,0.206666667,0.180791667,0.173208333,0.192833333,0.194125,0.217166667,0.236291667,0.168083333,0.242625,0.208875,0.18325,0.20125,0.192791667,0.150458333,0.176416667,0.140666667,0.166125
2020,153,0.153,0.202708333,0.178166667,0.171041667,0.189583333,0.192,0.214166667,0.232708333,0.165625,0.238958333,0.205291667,0.180291667,0.198,0.189208333,0.148125,0.1735,0.138958333,0.16225
2020,154,0.1505,0.199791667,0.176125,0.169125,0.186833333,0.19025,0.211833333,0.230458333,0.16325,0.236166667,0.2025,0.178125,0.195333333,0.186666667,0.146166667,0.171333333,0.137125,0.159625
2020,155,0.14775,0.196125,0.17325,0.167208333,0.184166667,0.188083333,0.208875,0.2275,0.161125,0.232916667,0.199583333,0.175625,0.191916667,0.184083333,0.144208333,0.169083333,0.134625,0.155916667
2020,156,0.14375,0.191833333,0.169333333,0.164375,0.180791667,0.185708333,0.205083333,0.223791667,0.158333333,0.229041667,0.195791667,0.172125,0.187916667,0.18125,0.142333333,0.167208333,0.13125,0.151625
2020,157,0.150208333,0.201,0.171916667,0.163083333,0.188125,0.190666667,0.210333333,0.225833333,0.167791667,0.233958333,0.205166667,0.175875,0.189208333,0.189833333,0.145125,0.173916667,0.130708333,0.154166667
2020,158,0.147458333,0.195083333,0.169958333,0.161833333,0.182291667,0.187583333,0.203416667,0.221041667,0.163458333,0.228333333,0.201291667,0.174208333,0.188125,0.186041667,0.144291667,0.172291667,0.130916667,0.152541667
2020,159,0.142375,0.189916667,0.165833333,0.158666667,0.178791667,0.1845,0.200166667,0.217041667,0.160291667,0.224416667,0.196916667,0.171375,0.185333333,0.181791667,0.142791667,0.168708333,0.128791667,0.147958333
2020,160,0.135791667,0.183958333,0.160208333,0.155416667,0.174375,0.181291667,0.195875,0.212583333,0.155458333,0.219708333,0.190916667,0.166083333,0.180083333,0.178083333,0.139916667,0.16475,0.124291667,0.142
2020,161,0.129291667,0.178125,0.154333333,0.151875,0.170125,0.178041667,0.191375,0.208375,0.15125,0.214791667,0.185916667,0.160958333,0.174333333,0.174333333,0.13725,0.161625,0.119291667,0.135458333
2020,162,0.123583333,0.172708333,0.148208333,0.147958333,0.166291667,0.175041667,0.187333333,0.204291667,0.14725,0.21025,0.181,0.156833333,0.168791667,0.17075,0.135,0.158625,0.114166667,0.128958333
