Box,Sensor,Plot,Treatment,Depth
1,1,1,Control,30
1,2,1,Control,10
1,3,2,Heated,30
1,4,2,Heated,10
2,1,14,Control,30
2,2,14,Control,10
2,3,13,Heated,30
2,4,13,Heated,10
