SWaN1,,,,,,,,
DateTime,,SensorID,,VWC,,Temp,,BEC
3/27/19 15:00,,3,,2677.82,,3.1,,3
3/27/19 15:00,,4,,2483.52,,2.7,,2
5/15/19 10:00,,1,,2564.18,,7.9,,4
5/15/19 10:00,,2,,2533.82,,7.4,,3
5/15/19 10:00,,3,,2728.02,,10.9,,3
5/15/19 10:00,,4,,2533.93,,11.4,,2
5/15/19 11:00,,1,,2569.56,,7.9,,4
5/15/19 11:00,,2,,2548.57,,7.5,,3
5/15/19 11:00,,3,,2735.04,,10.9,,3
5/15/19 11:00,,4,,2538.05,,11.4,,2
5/15/19 12:00,,1,,2572.69,,7.9,,4
5/15/19 12:00,,2,,2547.48,,7.7,,3
5/15/19 12:00,,3,,2734.43,,10.9,,3
5/15/19 12:00,,4,,2538.09,,11.4,,2
5/15/19 13:00,,1,,2571.67,,7.9,,4
5/15/19 13:00,,2,,2539.54,,7.8,,3
5/15/19 13:00,,3,,2726.7,,10.9,,3
5/15/19 13:00,,4,,2537.02,,11.4,,2
5/15/19 14:00,,1,,2568.63,,7.9,,5
5/15/19 14:00,,2,,2547.1,,8,,4
5/15/19 14:00,,3,,2733.22,,10.9,,3
5/15/19 14:00,,4,,2537.12,,11.5,,2
5/15/19 15:00,,1,,2572.61,,7.9,,4
5/15/19 15:00,,2,,2535.8,,8.1,,3
5/15/19 15:00,,3,,2733.14,,10.9,,3
5/15/19 15:00,,4,,2543.6,,11.5,,2
5/15/19 16:00,,1,,2568.29,,7.9,,4
5/15/19 16:00,,2,,2546.4,,8.3,,4
5/15/19 16:00,,3,,2732.33,,10.9,,3
5/15/19 16:00,,4,,2535.76,,11.6,,2
6/27/19 11:00,,1,,2412.38,,15.1,,4
6/27/19 11:00,,2,,2479.05,,16.3,,3
6/27/19 11:00,,3,,2625.65,,17.6,,3
6/27/19 11:00,,4,,2427.38,,19,,2
6/27/19 12:00,,1,,2413.47,,15.1,,4
6/27/19 12:00,,2,,2477.03,,16.4,,3
6/27/19 12:00,,3,,2618.14,,17.6,,3
6/27/19 12:00,,4,,2421.18,,19,,2
6/27/19 13:00,,1,,2414.05,,15.1,,4
6/27/19 13:00,,2,,2481.89,,16.6,,3
6/27/19 13:00,,3,,2618.32,,17.6,,3
6/27/19 13:00,,4,,2422.77,,19,,2
6/27/19 14:00,,1,,2411.5,,15.1,,4
6/27/19 14:00,,2,,2481.38,,16.7,,3
6/27/19 14:00,,3,,2621.15,,17.6,,3
6/27/19 14:00,,4,,2413.99,,19,,2
6/27/19 15:00,,1,,2406.15,,15.1,,4
6/27/19 15:00,,2,,2479.61,,16.8,,3
6/27/19 15:00,,3,,2619.97,,17.6,,3
6/27/19 15:00,,4,,2416.19,,19.1,,2
6/27/19 16:00,,1,,2409.28,,15.1,,4
6/27/19 16:00,,2,,2478.21,,17,,3
6/27/19 16:00,,3,,2613.84,,17.6,,3
6/27/19 16:00,,4,,2412.53,,19.1,,2
8/1/19 0:00,,1,,2302.12,,18.3,,4
8/1/19 0:00,,2,,2355.66,,19.2,,2
8/1/19 0:00,,3,,2534.37,,20.6,,2
8/1/19 0:00,,4,,2306.89,,22,,2
8/1/19 0:00,,1,,2317.68,,18.3,,3
8/1/19 0:00,,2,,2359.29,,19.3,,2
8/1/19 0:00,,3,,2532.82,,20.6,,2
8/1/19 0:00,,4,,2309.18,,22.1,,2
8/1/19 0:00,,1,,2316.57,,18.3,,3
8/1/19 0:00,,2,,2357.23,,19.3,,2
8/1/19 0:00,,3,,2529.29,,20.6,,2
8/1/19 0:00,,4,,2302.27,,22,,2
8/1/19 0:00,,1,,2322.05,,18.3,,3
8/1/19 0:00,,2,,2352.27,,19.4,,2
8/1/19 0:00,,3,,2527.94,,20.6,,2
8/1/19 0:00,,4,,2301.55,,21.9,,2
8/1/19 0:00,,1,,2319.99,,18.3,,3
8/1/19 0:00,,2,,2345.87,,19.5,,2
8/1/19 0:00,,3,,2524.67,,20.6,,2
8/1/19 0:00,,4,,2294.83,,21.8,,2
8/1/19 0:00,,1,,2318.45,,18.2,,3
8/1/19 0:00,,2,,2341.95,,19.5,,2
8/1/19 0:00,,3,,2524.82,,20.6,,2
8/1/19 0:00,,4,,2293.39,,21.8,,2
8/1/19 0:00,,1,,2317.62,,18.2,,3
8/1/19 0:00,,2,,2338.52,,19.6,,2
8/1/19 0:00,,3,,2521.07,,20.6,,2
8/1/19 0:00,,4,,2291.09,,21.7,,2
9/4/19 0:00,,1,,2241.68,,18.2,,2
9/4/19 0:00,,2,,2254.08,,19,,2
9/4/19 0:00,,3,,2478.96,,21.3,,2
9/4/19 0:00,,4,,2280.66,,22.4,,2
9/4/19 0:00,,1,,2241.32,,18.1,,3
9/4/19 0:00,,2,,2252.77,,19,,2
9/4/19 0:00,,3,,2475.6,,21.3,,2
9/4/19 0:00,,4,,2275.25,,22.5,,2
9/4/19 0:00,,1,,2233.72,,18.1,,3
9/4/19 0:00,,2,,2249.11,,19.1,,2
9/4/19 0:00,,3,,2474.69,,21.3,,2
9/4/19 0:00,,4,,2276.38,,22.5,,2
9/4/19 0:00,,1,,2233.79,,18.1,,3
9/4/19 0:00,,2,,2250.39,,19.3,,2
9/4/19 0:00,,3,,2470.26,,21.3,,2
9/4/19 0:00,,4,,2273.95,,22.6,,2
9/4/19 0:00,,1,,2239.28,,18.1,,2
9/4/19 0:00,,2,,2248.26,,19.5,,1
9/4/19 0:00,,3,,2465.35,,21.3,,2
9/4/19 0:00,,4,,2269.97,,22.7,,2
9/4/19 0:00,,1,,2239.97,,18.1,,2
9/4/19 0:00,,2,,2245.5,,19.6,,1
9/4/19 0:00,,3,,2463.33,,21.3,,2
9/4/19 0:00,,4,,2267.41,,22.8,,2
9/4/19 0:00,,1,,2238.18,,18.1,,2
9/4/19 0:00,,2,,2246.13,,19.7,,1
9/4/19 0:00,,3,,2456.42,,21.3,,2
9/4/19 0:00,,4,,2260.01,,22.9,,2
9/4/19 0:00,,1,,2238.63,,18.1,,3
9/4/19 0:00,,2,,2245.35,,19.8,,1
9/4/19 0:00,,3,,2454.93,,21.3,,2
9/4/19 0:00,,4,,2257.46,,23,,2
9/4/19 0:00,,1,,2231.45,,18.2,,2
9/4/19 0:00,,2,,2240.77,,19.8,,2
9/4/19 0:00,,3,,2451.25,,21.4,,2
9/4/19 0:00,,4,,2260.18,,23,,2
9/4/19 0:00,,1,,2237.96,,18.2,,3
9/4/19 0:00,,2,,2241.61,,19.8,,2
9/4/19 0:00,,3,,2454.71,,21.4,,1
9/4/19 0:00,,4,,2258.87,,23,,2
9/4/19 0:00,,1,,2237.74,,18.2,,2
9/4/19 0:00,,2,,2240.89,,19.8,,2
9/4/19 0:00,,3,,2451.11,,21.4,,2
9/4/19 0:00,,4,,2256.1,,23,,2
9/4/19 0:00,,1,,2237.48,,18.2,,3
9/4/19 0:00,,2,,2243.88,,19.8,,1
9/4/19 0:00,,3,,2451.09,,21.5,,2
